11:13:52.693 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to save data to DB
11:13:52.706 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution save data to DB
11:13:52.836 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:13:52.844 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:13:52.852 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:15:10.866 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Starting StockwatchServiceTest using Java 17.0.6 with PID 5216 (started by Likhith in C:\Users\Administrator\Desktop\stockwatch)
11:15:10.872 [main] DEBUG c.l.stockwatch.StockwatchServiceTest - Running with Spring Boot v3.1.5, Spring v6.0.13
11:15:10.873 [main] INFO  c.l.stockwatch.StockwatchServiceTest - No active profile set, falling back to 1 default profile: "default"
11:15:12.961 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:15:13.071 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 92 ms. Found 1 JPA repository interfaces.
11:15:14.437 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:15:14.550 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
11:15:14.556 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
11:15:15.262 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:15:15.321 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:15:15.768 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:stockmarketdetails user=ROOT
11:15:15.774 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:15:17.518 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11:15:17.658 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:15:19.073 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:15:21.844 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:stockmarketdetails'
11:15:22.424 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
11:15:22.545 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Started StockwatchServiceTest in 12.348 seconds (process running for 15.718)
11:15:45.680 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to save data to DB
11:15:45.995 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution save data to DB
11:16:06.717 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:16:06.722 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:16:06.727 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:19:21.107 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Starting StockwatchServiceTest using Java 17.0.6 with PID 10284 (started by Likhith in C:\Users\Administrator\Desktop\stockwatch)
11:19:21.109 [main] DEBUG c.l.stockwatch.StockwatchServiceTest - Running with Spring Boot v3.1.5, Spring v6.0.13
11:19:21.110 [main] INFO  c.l.stockwatch.StockwatchServiceTest - No active profile set, falling back to 1 default profile: "default"
11:19:23.136 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:19:23.250 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 94 ms. Found 1 JPA repository interfaces.
11:19:24.202 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:19:24.331 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
11:19:24.334 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
11:19:24.933 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:19:25.026 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:19:25.408 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:stockmarketdetails user=ROOT
11:19:25.412 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:19:26.616 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11:19:26.709 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:19:27.760 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:19:30.267 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:stockmarketdetails'
11:19:30.890 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
11:19:31.012 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Started StockwatchServiceTest in 10.601 seconds (process running for 12.725)
11:19:32.722 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to get stock details for company London Stock Exchange
11:19:32.736 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution to get stock details for company London Stock Exchange
11:19:32.875 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to save data to DB
